idade,sexo,cor_raca,anos_estudo,setor,regiao,rendimento_hora
61,F,Indigena,0,Industria,Sul,19.02582395497178
25,M,Amarela,4,Agricultura,Norte,23.237839513731014
41,M,Branca,0,Construcao,Sudeste,21.905107827693467
28,F,Indigena,3,Agricultura,Norte,28.466008628788014
34,F,Branca,1,Agricultura,Norte,20.156502246824417
25,M,Branca,9,Industria,Sul,35.735743538091455
52,M,Preta,4,Comercio,Norte,35.69897870011722
52,F,Indigena,9,Construcao,Nordeste,41.31879284007893
50,M,Amarela,0,Industria,Nordeste,20.1223947751535
22,F,Preta,5,Agricultura,Centro-Oeste,33.439245155671614
59,F,Branca,12,Industria,Sul,46.010518502918686
56,F,Branca,14,Comercio,Centro-Oeste,53.70504652776122
58,F,Branca,3,Construcao,Nordeste,20.17127269184471
45,M,Indigena,12,Comercio,Centro-Oeste,39.592843447807255
24,M,Indigena,19,Servicos,Sul,75.16025986562951
26,M,Preta,14,Construcao,Sul,71.38933930950654
25,M,Amarela,7,Comercio,Norte,21.559533532965478
29,M,Preta,4,Agricultura,Sudeste,29.48631633370318
51,M,Parda,14,Construcao,Norte,59.16325761044863
50,M,Branca,3,Construcao,Sul,29.138469209937085
65,F,Branca,11,Industria,Nordeste,45.92123168490555
40,M,Branca,12,Agricultura,Nordeste,40.604701819325044
41,M,Preta,1,Servicos,Norte,22.11672045764098
54,F,Preta,18,Comercio,Sul,64.33941613790444
52,M,Branca,18,Industria,Nordeste,53.50046977012868
61,M,Preta,3,Comercio,Sul,36.887553323082386
57,F,Indigena,3,Servicos,Nordeste,31.990314919052253
39,M,Indigena,10,Servicos,Sul,49.98996586110648
44,M,Preta,4,Construcao,Centro-Oeste,27.854448129234214
52,M,Branca,19,Servicos,Sul,82.88590807629336
18,F,Preta,10,Comercio,Sul,43.50603794066849
52,M,Preta,9,Agricultura,Norte,46.86410532856789
54,M,Preta,7,Agricultura,Centro-Oeste,34.2951067947569
64,F,Parda,5,Construcao,Sudeste,42.55190243144368
31,M,Indigena,5,Comercio,Norte,29.6447143555961
20,F,Amarela,7,Comercio,Sudeste,36.164311661635246
18,F,Amarela,14,Servicos,Nordeste,44.739633467727806
22,M,Parda,13,Comercio,Sudeste,55.761735125810254
43,F,Preta,10,Industria,Sul,40.16827049503329
31,F,Parda,11,Servicos,Sudeste,46.69030364082903
56,M,Parda,12,Industria,Norte,45.42774623010327
44,F,Branca,7,Construcao,Norte,26.482590408604644
26,F,Indigena,17,Agricultura,Sudeste,76.46862841810177
32,M,Amarela,0,Construcao,Norte,21.828034371930418
32,M,Preta,14,Agricultura,Norte,64.56220501286556
43,M,Amarela,7,Construcao,Sudeste,32.42262988266661
59,F,Amarela,10,Comercio,Centro-Oeste,43.50752249946535
30,M,Indigena,11,Industria,Centro-Oeste,36.63895424877542
49,F,Amarela,11,Agricultura,Nordeste,40.50583073681761
56,F,Amarela,3,Servicos,Norte,20.611238099500547
49,F,Parda,15,Industria,Sudeste,68.31750403864936
21,F,Indigena,3,Servicos,Norte,19.54262193138944
47,F,Branca,4,Industria,Sul,35.2502760021641
54,F,Preta,4,Industria,Norte,29.304725337531107
40,F,Amarela,7,Construcao,Norte,46.22183251262874
56,M,Preta,9,Agricultura,Centro-Oeste,33.04333466116166
62,M,Branca,16,Agricultura,Sudeste,74.79539943872079
32,F,Preta,8,Industria,Norte,41.11864522240436
60,F,Branca,18,Comercio,Centro-Oeste,59.759726971837786
46,M,Parda,13,Comercio,Nordeste,57.96280001883896
53,F,Amarela,7,Servicos,Centro-Oeste,38.976869778157365
30,M,Branca,8,Servicos,Centro-Oeste,37.63514244027955
49,M,Preta,10,Construcao,Centro-Oeste,38.936387078167996
24,M,Amarela,0,Industria,Norte,8.565343291304885
39,F,Parda,13,Servicos,Norte,64.37887257471556
45,F,Amarela,4,Servicos,Nordeste,27.604096913744893
19,M,Branca,20,Industria,Sul,76.97278000918875
59,M,Parda,13,Construcao,Sul,52.73460370999468
62,M,Preta,3,Servicos,Sul,28.16088232267016
23,M,Parda,0,Construcao,Nordeste,19.251908855499654
45,M,Parda,18,Agricultura,Sul,61.70254273069081
45,F,Indigena,7,Construcao,Sul,34.50871739256837
61,M,Parda,14,Comercio,Centro-Oeste,56.724164466433386
61,F,Parda,20,Comercio,Norte,71.98823561104031
37,M,Amarela,14,Construcao,Norte,52.56544028990306
47,F,Preta,8,Comercio,Centro-Oeste,38.41491868657554
28,F,Amarela,20,Agricultura,Centro-Oeste,71.51713453490687
45,F,Amarela,8,Industria,Centro-Oeste,40.207825272755976
42,F,Branca,9,Comercio,Norte,32.32517714799303
56,F,Amarela,19,Comercio,Sul,70.2150694124272
50,F,Indigena,20,Construcao,Centro-Oeste,77.16857717126163
18,M,Indigena,8,Agricultura,Nordeste,39.92788312544324
44,F,Branca,2,Industria,Centro-Oeste,10.642843291113616
30,M,Preta,19,Construcao,Sudeste,73.9088794021132
58,F,Preta,10,Construcao,Centro-Oeste,31.09064850375114
20,F,Amarela,5,Agricultura,Norte,24.681609412362217
56,M,Amarela,1,Industria,Centro-Oeste,30.90660210047586
23,F,Amarela,6,Agricultura,Sudeste,26.872643696386078
25,M,Preta,17,Industria,Nordeste,55.5940617270505
44,M,Parda,1,Agricultura,Sul,26.664178689437154
26,M,Indigena,16,Construcao,Centro-Oeste,48.66319090874212
54,M,Parda,10,Construcao,Sudeste,45.68346982068977
50,F,Parda,11,Servicos,Sudeste,56.37864682549051
59,F,Preta,18,Comercio,Nordeste,61.67428491386359
61,M,Parda,6,Agricultura,Norte,32.70418007673417
41,F,Branca,19,Servicos,Centro-Oeste,73.5851142618902
32,F,Amarela,5,Comercio,Sudeste,33.36927650121937
49,M,Branca,20,Agricultura,Nordeste,73.4809103777724
49,F,Indigena,0,Industria,Sul,15.845266324379766
41,M,Amarela,16,Comercio,Sudeste,66.94036669161373
58,M,Parda,10,Construcao,Nordeste,44.21760391940146
29,F,Indigena,17,Servicos,Norte,64.82683365955471
56,F,Amarela,20,Comercio,Norte,67.73840784929213
19,F,Parda,16,Comercio,Sudeste,58.98458615372275
20,M,Branca,6,Construcao,Sudeste,28.260253244687913
54,M,Amarela,16,Agricultura,Centro-Oeste,61.069954339962585
34,F,Parda,19,Industria,Nordeste,60.41399481822693
19,F,Branca,8,Construcao,Sudeste,30.99572129902804
19,F,Indigena,16,Industria,Centro-Oeste,56.63196688713233
45,F,Indigena,19,Agricultura,Centro-Oeste,67.87643865514596
40,M,Indigena,7,Comercio,Sudeste,44.09724240969143
54,F,Indigena,16,Industria,Norte,56.693246582549406
49,M,Preta,6,Servicos,Nordeste,38.128317081020526
50,M,Amarela,0,Servicos,Nordeste,22.304785433641978
18,F,Amarela,12,Construcao,Norte,46.42864284698956
36,F,Preta,18,Agricultura,Sudeste,62.766077903187146
19,F,Parda,18,Construcao,Nordeste,61.57618089362713
61,M,Parda,16,Construcao,Sudeste,69.30484177632798
43,F,Indigena,12,Construcao,Sudeste,51.803070801447646
49,F,Branca,15,Servicos,Centro-Oeste,46.36113404977348
23,M,Parda,7,Servicos,Norte,36.32293774384088
49,F,Branca,18,Construcao,Sudeste,82.55518623638345
21,M,Amarela,17,Servicos,Sul,64.9597643874581
28,F,Branca,0,Agricultura,Norte,6.991537412868072
34,M,Amarela,13,Construcao,Nordeste,52.720091358268384
55,F,Preta,18,Servicos,Centro-Oeste,69.87426926279943
41,F,Preta,14,Industria,Nordeste,59.276410992498484
22,M,Indigena,17,Construcao,Nordeste,52.69279106454667
51,M,Parda,1,Construcao,Norte,23.308281515449956
23,F,Indigena,16,Agricultura,Nordeste,59.10253236750878
39,M,Amarela,17,Comercio,Sudeste,66.42712077835672
28,M,Indigena,5,Comercio,Nordeste,29.392123907530138
65,M,Branca,18,Agricultura,Centro-Oeste,74.37674488959014
33,M,Amarela,3,Agricultura,Centro-Oeste,27.5938922801707
50,F,Preta,0,Agricultura,Sul,11.141884127557628
26,F,Parda,7,Comercio,Centro-Oeste,35.64094912053291
23,M,Amarela,6,Agricultura,Nordeste,29.171868369804884
33,M,Amarela,2,Servicos,Centro-Oeste,22.997244588093096
46,M,Branca,9,Construcao,Norte,41.159181946010165
20,M,Parda,9,Construcao,Centro-Oeste,36.69854206721044
37,F,Preta,18,Industria,Sudeste,74.9902449826424
53,F,Amarela,13,Industria,Norte,50.257692240904724
36,M,Amarela,1,Construcao,Sul,14.402723229700989
43,M,Branca,0,Servicos,Sudeste,20.79882086418163
20,M,Indigena,17,Comercio,Nordeste,61.07216830086285
36,F,Preta,6,Comercio,Nordeste,36.4952887057823
37,M,Parda,7,Servicos,Nordeste,40.658568109693
49,F,Amarela,0,Comercio,Sudeste,13.776788327517735
24,M,Amarela,2,Agricultura,Sudeste,38.39113950007335
58,F,Preta,7,Construcao,Sudeste,41.14865186586788
50,M,Indigena,14,Construcao,Norte,62.85234442799408
57,F,Amarela,4,Servicos,Norte,28.129713398536623
56,M,Preta,2,Comercio,Nordeste,25.520155468232698
35,M,Branca,18,Industria,Centro-Oeste,69.63681102711043
57,M,Indigena,0,Industria,Nordeste,24.149168270525536
18,F,Parda,14,Comercio,Sul,59.70420983226935
28,M,Amarela,7,Industria,Norte,38.19318200043786
45,F,Preta,1,Servicos,Sudeste,22.309479612835347
42,F,Branca,2,Servicos,Norte,18.20952374826363
40,M,Parda,13,Comercio,Sudeste,58.195645061945186
48,M,Preta,13,Industria,Sul,61.75876843404642
47,M,Preta,10,Servicos,Sul,49.30367579534036
59,F,Parda,15,Servicos,Norte,66.47103179428632
52,M,Branca,3,Agricultura,Sudeste,38.35570047291708
24,F,Branca,19,Agricultura,Sul,62.58207448555948
33,F,Indigena,4,Servicos,Nordeste,21.13847577722232
43,M,Amarela,20,Comercio,Nordeste,70.31774964656798
65,M,Parda,13,Construcao,Sudeste,61.04567600913518
19,M,Parda,15,Construcao,Norte,51.132597917397696
18,M,Parda,17,Servicos,Sul,74.87321607320285
65,M,Branca,6,Servicos,Norte,40.1444011691107
29,M,Amarela,9,Servicos,Nordeste,41.91668228944444
22,F,Indigena,6,Comercio,Sul,22.82454285678883
54,F,Preta,0,Agricultura,Norte,6.585105101434958
49,F,Preta,20,Servicos,Centro-Oeste,74.56605550169084
26,M,Parda,18,Servicos,Sudeste,58.72442624307098
58,F,Amarela,15,Industria,Sudeste,68.03582445786444
52,F,Branca,18,Comercio,Centro-Oeste,63.69107693376608
36,F,Amarela,3,Servicos,Nordeste,43.1785578175684
65,F,Amarela,17,Industria,Sul,81.24749750369665
33,F,Branca,1,Construcao,Sudeste,18.6713055845149
20,M,Parda,0,Servicos,Centro-Oeste,14.76197798481211
37,M,Amarela,14,Servicos,Centro-Oeste,62.61348908401217
41,F,Preta,4,Industria,Nordeste,34.33903565950823
50,F,Branca,19,Comercio,Nordeste,57.37182565538389
41,F,Indigena,10,Servicos,Norte,33.20174720787188
28,M,Parda,9,Construcao,Sudeste,39.82779116667371
25,M,Branca,1,Servicos,Norte,22.29642549904319
53,F,Indigena,2,Construcao,Centro-Oeste,22.941241543045585
55,M,Indigena,11,Agricultura,Sul,57.8186287299031
57,M,Amarela,19,Agricultura,Sul,66.84181482980814
37,F,Amarela,4,Construcao,Nordeste,9.743136822186742
52,M,Amarela,4,Comercio,Sul,36.58808517181287
65,M,Branca,5,Servicos,Sul,33.83082236220859
42,F,Branca,8,Servicos,Sul,30.32907281366817
52,M,Parda,1,Agricultura,Centro-Oeste,19.91038247575629
42,M,Amarela,20,Construcao,Sul,79.79905412931205
46,F,Indigena,11,Servicos,Sul,50.58765720727233
35,M,Preta,2,Servicos,Sul,24.05290968290506
63,M,Parda,19,Comercio,Norte,69.80382660712455
35,F,Branca,11,Industria,Centro-Oeste,40.7765034255953
19,F,Parda,16,Agricultura,Nordeste,46.991717328358995
52,F,Parda,9,Agricultura,Norte,35.15191593805741
33,M,Parda,13,Industria,Sudeste,58.487679430082885
58,F,Parda,16,Servicos,Centro-Oeste,64.690071248259
53,M,Preta,17,Comercio,Centro-Oeste,64.96835883580091
50,F,Amarela,18,Comercio,Sudeste,63.42910910887973
21,M,Indigena,16,Agricultura,Sudeste,61.23098102718599
50,F,Parda,13,Comercio,Sudeste,42.33760972134287
31,F,Parda,8,Industria,Nordeste,35.190859983312336
38,F,Parda,7,Servicos,Sul,47.733146246881404
65,F,Amarela,1,Industria,Centro-Oeste,9.755207207747368
37,M,Branca,12,Construcao,Sul,48.52443396009346
25,F,Branca,6,Agricultura,Sul,33.77464067226077
24,F,Preta,8,Comercio,Sudeste,45.797055806564906
20,M,Branca,10,Construcao,Nordeste,37.7106523021991
34,F,Parda,13,Comercio,Norte,44.32649802440462
50,M,Parda,3,Servicos,Nordeste,15.586461145503499
65,F,Parda,12,Servicos,Sul,57.02062877584863
29,F,Preta,1,Servicos,Nordeste,29.532456240862466
39,F,Parda,4,Comercio,Sudeste,30.544150771788054
39,M,Branca,10,Construcao,Norte,42.54632612489772
63,F,Amarela,5,Servicos,Sudeste,39.49249386460191
47,F,Amarela,17,Construcao,Norte,61.17344797630838
55,F,Indigena,20,Comercio,Sul,69.72191376643922
55,M,Branca,9,Construcao,Norte,46.73967949406623
62,M,Parda,3,Comercio,Norte,27.194569138670524
25,F,Amarela,8,Comercio,Norte,33.50567951160194
44,M,Branca,5,Agricultura,Nordeste,23.4278038363305
44,F,Amarela,1,Comercio,Nordeste,23.901047591608553
51,F,Parda,16,Comercio,Sul,66.90821647199866
38,F,Amarela,4,Industria,Norte,20.442474975796188
47,F,Indigena,5,Servicos,Centro-Oeste,36.650949122091625
50,F,Indigena,11,Agricultura,Sul,45.814574969688756
45,F,Amarela,20,Agricultura,Norte,64.70797904493378
64,F,Branca,9,Agricultura,Norte,36.32178129511827
50,M,Branca,20,Industria,Nordeste,61.37358868147145
22,M,Branca,5,Comercio,Sul,33.46925428250923
65,M,Amarela,7,Servicos,Norte,29.413130729969897
36,M,Branca,1,Construcao,Norte,9.749337012405425
21,M,Parda,11,Comercio,Sul,34.866471945528794
52,M,Indigena,12,Industria,Centro-Oeste,49.32358184325464
34,M,Parda,20,Comercio,Sul,73.17807723836877
61,F,Branca,6,Comercio,Sul,34.15982272088181
45,F,Parda,9,Industria,Centro-Oeste,32.344533831976534
47,F,Branca,12,Agricultura,Sul,44.20659747938016
46,F,Amarela,16,Agricultura,Norte,61.106219181279435
63,M,Parda,20,Servicos,Sul,77.25668840974907
23,M,Amarela,13,Servicos,Centro-Oeste,54.05814992921687
52,F,Amarela,1,Agricultura,Sudeste,16.728507883254665
58,F,Preta,10,Construcao,Sul,48.0463764566265
54,M,Branca,0,Comercio,Nordeste,24.299668223896383
41,F,Indigena,18,Construcao,Norte,66.8369948023567
46,F,Branca,20,Comercio,Norte,67.04551709070111
63,F,Indigena,3,Agricultura,Nordeste,25.50319382213556
48,F,Branca,18,Servicos,Nordeste,65.71600895281873
52,M,Amarela,20,Servicos,Sul,79.28728110816836
50,F,Parda,10,Construcao,Nordeste,40.04633368710898
38,F,Parda,7,Servicos,Sudeste,39.17398876468765
49,M,Preta,10,Agricultura,Centro-Oeste,45.152560118445045
40,M,Indigena,3,Construcao,Nordeste,17.239847802508294
50,F,Indigena,16,Comercio,Nordeste,52.70472703806013
20,M,Indigena,6,Servicos,Sudeste,28.868744677012728
35,F,Amarela,7,Industria,Norte,22.198373372977738
42,F,Indigena,2,Servicos,Norte,14.336303846677124
59,M,Parda,1,Comercio,Sul,24.836775040824776
48,F,Amarela,14,Construcao,Sudeste,52.603274907048686
20,F,Branca,4,Comercio,Centro-Oeste,24.681686785386578
57,F,Indigena,0,Industria,Centro-Oeste,15.048282492515371
63,F,Indigena,3,Agricultura,Sudeste,17.148974719371676
41,M,Branca,14,Servicos,Centro-Oeste,61.049853505330134
49,M,Indigena,19,Construcao,Norte,73.94479187355026
64,F,Branca,18,Agricultura,Centro-Oeste,60.11682395099088
39,M,Amarela,2,Comercio,Centro-Oeste,22.80114925736995
40,F,Parda,19,Construcao,Sudeste,65.86101057554481
19,F,Branca,10,Agricultura,Sudeste,43.86602226049001
44,F,Preta,16,Construcao,Centro-Oeste,50.4930095582702
59,F,Branca,12,Industria,Nordeste,37.92136128479253
19,F,Indigena,10,Industria,Sudeste,40.98309686232219
43,M,Amarela,1,Servicos,Sul,24.217626322350984
34,F,Amarela,8,Servicos,Sul,39.093921838312376
57,M,Branca,1,Industria,Norte,12.535816650664644
50,M,Parda,20,Construcao,Centro-Oeste,69.60060562721318
26,F,Preta,8,Industria,Nordeste,35.1357685154844
60,F,Amarela,8,Servicos,Norte,40.33064181926477
65,F,Indigena,7,Industria,Centro-Oeste,36.49500618359528
56,F,Indigena,16,Industria,Sudeste,60.4993087972746
46,F,Parda,0,Construcao,Sul,24.55030748829696
59,M,Amarela,10,Agricultura,Nordeste,38.02295998067132
43,F,Branca,7,Servicos,Sul,42.68536178252031
52,F,Indigena,9,Construcao,Sudeste,51.53134655775977
42,M,Parda,6,Industria,Centro-Oeste,34.72544855649337
41,M,Amarela,2,Industria,Sudeste,24.30485463761102
30,F,Amarela,2,Agricultura,Sudeste,19.030217720022122
24,M,Amarela,17,Servicos,Sul,73.69652590627753
53,F,Amarela,4,Servicos,Nordeste,20.02215044842996
62,M,Amarela,11,Comercio,Sudeste,47.41925443772213
37,M,Indigena,11,Servicos,Sul,49.85465340704967
18,F,Parda,18,Agricultura,Nordeste,67.98592254507199
25,M,Amarela,5,Comercio,Centro-Oeste,29.278605816245374
63,M,Preta,1,Comercio,Centro-Oeste,14.551725448938527
33,M,Preta,11,Industria,Norte,42.89815376769057
31,M,Parda,18,Industria,Sul,64.43406113542224
29,M,Branca,4,Servicos,Nordeste,23.421266046598788
40,M,Branca,11,Comercio,Sudeste,56.47333735134067
32,F,Branca,16,Industria,Centro-Oeste,48.409541224418966
45,F,Preta,16,Agricultura,Nordeste,67.85268513440624
51,M,Branca,9,Industria,Sul,50.28937814110774
19,F,Indigena,16,Industria,Norte,61.62517002362219
49,F,Amarela,14,Comercio,Centro-Oeste,50.30236292784845
40,F,Preta,11,Comercio,Nordeste,42.70035568552534
39,M,Parda,15,Construcao,Nordeste,48.08108911285173
42,F,Parda,18,Agricultura,Nordeste,60.29202555759918
39,M,Amarela,7,Comercio,Sul,41.24192908585891
39,F,Preta,20,Servicos,Sul,83.45637837068838
59,M,Branca,16,Agricultura,Sul,59.23705909918529
23,M,Branca,4,Agricultura,Sudeste,26.766964378088407
32,F,Indigena,15,Comercio,Nordeste,52.93220467860487
60,F,Indigena,5,Agricultura,Centro-Oeste,20.82526478684509
54,M,Branca,7,Comercio,Sul,43.6280954505504
50,F,Parda,17,Industria,Sul,61.25605800954434
25,F,Parda,11,Construcao,Nordeste,40.627657892937854
61,F,Indigena,14,Industria,Sul,55.80830376852873
61,M,Amarela,8,Comercio,Sudeste,39.98396896568195
22,M,Branca,12,Comercio,Sudeste,51.19773008711667
56,F,Indigena,14,Industria,Sul,56.62634252859186
21,F,Indigena,9,Servicos,Nordeste,36.488852706328004
23,F,Branca,15,Servicos,Nordeste,51.389230269917945
62,M,Branca,6,Servicos,Nordeste,39.157148024697726
49,M,Parda,16,Comercio,Norte,70.6017036109537
47,F,Amarela,20,Agricultura,Sul,74.47932339703476
64,F,Amarela,6,Comercio,Nordeste,38.45670928946677
52,F,Branca,13,Agricultura,Sudeste,47.29866844907922
57,F,Preta,14,Industria,Centro-Oeste,54.98656863576261
33,F,Indigena,20,Construcao,Centro-Oeste,61.37579008617361
30,F,Indigena,6,Agricultura,Nordeste,19.53845043480859
59,M,Branca,8,Servicos,Centro-Oeste,38.04377155524578
47,F,Preta,18,Comercio,Centro-Oeste,71.19139600648143
36,M,Parda,15,Industria,Norte,62.02009497201787
34,F,Branca,7,Servicos,Sudeste,41.1380283323264
36,F,Branca,17,Industria,Sudeste,55.7237966406604
45,M,Indigena,17,Construcao,Norte,61.82231609167237
43,M,Branca,19,Comercio,Norte,70.17020005341041
54,M,Branca,6,Comercio,Centro-Oeste,34.33321737747159
43,M,Branca,2,Construcao,Sul,13.697238499115524
40,F,Indigena,17,Comercio,Centro-Oeste,55.05809291188076
26,M,Parda,9,Agricultura,Norte,37.9355334151077
29,F,Parda,6,Industria,Sudeste,36.49774545710314
18,M,Branca,16,Servicos,Centro-Oeste,46.78323307340031
18,F,Indigena,13,Construcao,Sul,49.587256147120854
64,F,Parda,2,Agricultura,Centro-Oeste,22.138292619273717
51,F,Parda,11,Servicos,Nordeste,53.01767193109728
49,F,Parda,12,Servicos,Centro-Oeste,54.63714550542461
65,F,Indigena,1,Construcao,Norte,22.095427912852834
42,F,Indigena,2,Agricultura,Sudeste,18.840356959788394
57,M,Branca,4,Servicos,Sudeste,24.591987177260155
62,F,Amarela,10,Servicos,Norte,44.08168345763159
18,M,Parda,7,Agricultura,Nordeste,37.76979095125136
33,M,Amarela,11,Comercio,Norte,53.12072716514659
56,F,Indigena,6,Servicos,Centro-Oeste,38.78329461378671
22,M,Indigena,14,Industria,Norte,54.4160449368104
39,F,Indigena,16,Agricultura,Norte,59.75783789031579
46,M,Amarela,3,Servicos,Nordeste,23.583287519435316
20,F,Indigena,12,Construcao,Centro-Oeste,43.21963823867827
29,M,Branca,17,Industria,Sul,75.09441715495798
43,F,Indigena,0,Servicos,Sul,14.504651965248742
33,F,Preta,15,Industria,Sudeste,68.6486727442591
54,F,Amarela,12,Industria,Norte,46.14783107304765
39,F,Preta,9,Comercio,Sudeste,50.83259265457047
46,M,Indigena,11,Industria,Nordeste,37.87910994301477
31,F,Branca,1,Comercio,Sul,22.035425206987895
45,M,Parda,2,Agricultura,Norte,16.57937918431427
22,M,Indigena,9,Comercio,Nordeste,29.34839684845488
64,M,Branca,1,Construcao,Nordeste,21.791204254465676
47,F,Amarela,12,Servicos,Norte,56.29683073157581
63,M,Preta,12,Agricultura,Nordeste,46.090351368439016
22,M,Preta,17,Agricultura,Norte,51.24590423724959
29,M,Preta,2,Construcao,Norte,18.528931413990268
